year,month,state,rto,vehicle_class,fuel,value,unit,note
2014,March,Maharashtra,All Vahan Running Office,MOTOR CAB,PETROL/LPG,1,value in Absolute Number,
2020,October,Maharashtra,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),472,value in Absolute Number,
2018,April,Meghalaya,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,7,value in Absolute Number,
2014,February,Kerala,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),1,value in Absolute Number,
2023,September,Gujarat,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,2,value in Absolute Number,
2021,March,Andhra Pradesh,All Vahan Running Office,GOODS CARRIER,DIESEL,3553,value in Absolute Number,
2024,April,Himachal Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,105,value in Absolute Number,
2017,April,Puducherry,All Vahan Running Office,GOODS CARRIER,DIESEL,40,value in Absolute Number,
2022,August,Haryana,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,3,value in Absolute Number,
2017,July,Manipur,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,83,value in Absolute Number,
2022,July,Gujarat,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,31,value in Absolute Number,
2016,February,West Bengal,All Vahan Running Office,MOTOR CAB,DIESEL,401,value in Absolute Number,
2019,February,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2015,April,Arunachal Pradesh,All Vahan Running Office,MOPED,PETROL,1,value in Absolute Number,
2015,November,Chandigarh,All Vahan Running Office,MOTOR CAR,DIESEL,914,value in Absolute Number,
2019,February,Rajasthan,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,36,value in Absolute Number,
2014,February,Uttar Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,36,value in Absolute Number,
2024,April,Jharkhand,All Vahan Running Office,AMBULANCE,PETROL/CNG,1,value in Absolute Number,
2017,July,Kerala,All Vahan Running Office,BUS,DIESEL,163,value in Absolute Number,
2023,March,Punjab,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,1789,value in Absolute Number,
2024,May,Odisha,All Vahan Running Office,GOODS CARRIER,PETROL,229,value in Absolute Number,
2015,July,Karnataka,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,963,value in Absolute Number,
2017,May,Puducherry,All Vahan Running Office,MOTOR CAR,DIESEL,363,value in Absolute Number,
2022,January,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,2,value in Absolute Number,
2015,March,Assam,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,4,value in Absolute Number,
2014,March,Karnataka,All Vahan Running Office,MAXI CAB,DIESEL,407,value in Absolute Number,
2014,December,Chhattisgarh,All Vahan Running Office,BUS,DIESEL,27,value in Absolute Number,
2015,December,Rajasthan,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,26,value in Absolute Number,
2024,January,Karnataka,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,1,value in Absolute Number,
2016,May,Odisha,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),2,value in Absolute Number,
2022,June,Sikkim,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,308,value in Absolute Number,
2016,April,Goa,All Vahan Running Office,MOTOR CYCLE/SCOOTER-SIDECAR(T),NOT APPLICABLE,1,value in Absolute Number,
2025,April,Odisha,All Vahan Running Office,TRACTOR-TROLLEY(COMMERCIAL),NOT APPLICABLE,8,value in Absolute Number,
2018,March,Tamil Nadu,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,4,value in Absolute Number,
2020,January,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,2,value in Absolute Number,
2024,May,Puducherry,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,36,value in Absolute Number,
2014,February,Arunachal Pradesh,All Vahan Running Office,EXCAVATOR (NT),DIESEL,2,value in Absolute Number,
2018,March,Chhattisgarh,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),7,value in Absolute Number,
2020,April,Madhya Pradesh,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,1,value in Absolute Number,
2019,July,Maharashtra,All Vahan Running Office,E-RICKSHAW(P),PETROL/LPG,1,value in Absolute Number,
2015,January,Bihar,All Vahan Running Office,MOTOR CAR,PETROL,1902,value in Absolute Number,
2023,July,Andhra Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,3756,value in Absolute Number,
2016,May,Maharashtra,All Vahan Running Office,MOTOR CAB,PETROL/CNG,1075,value in Absolute Number,
2024,July,Odisha,All Vahan Running Office,PRIVATE SERVICE VEHICLE,DIESEL,7,value in Absolute Number,
2025,April,Jammu and Kashmir,All Vahan Running Office,MAXI CAB,PETROL/ETHANOL,45,value in Absolute Number,
2023,March,Chhattisgarh,All Vahan Running Office,MOTOR CAB,PETROL,40,value in Absolute Number,
2019,June,Jharkhand,All Vahan Running Office,MAXI CAB,PETROL,4,value in Absolute Number,
2019,August,Uttarakhand,All Vahan Running Office,AMBULANCE,DIESEL,9,value in Absolute Number,
2023,May,Jharkhand,All Vahan Running Office,GOODS CARRIER,CNG ONLY,17,value in Absolute Number,
2018,March,Punjab,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),14,value in Absolute Number,
2023,March,Kerala,All Vahan Running Office,ADAPTED VEHICLE,PETROL,109,value in Absolute Number,
2016,November,Uttarakhand,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,9,value in Absolute Number,
2020,December,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,FORK LIFT,DIESEL,3,value in Absolute Number,
2023,September,Assam,All Vahan Running Office,MOPED,PETROL,289,value in Absolute Number,
2021,March,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,212,value in Absolute Number,
2018,September,Assam,All Vahan Running Office,MOPED,PETROL,230,value in Absolute Number,
2016,February,Rajasthan,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/LPG,11,value in Absolute Number,
2021,January,Uttarakhand,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),25,value in Absolute Number,
2024,August,West Bengal,All Vahan Running Office,EXCAVATOR (NT),DIESEL,12,value in Absolute Number,
2022,August,Arunachal Pradesh,All Vahan Running Office,DUMPER,DIESEL,45,value in Absolute Number,
2019,January,Delhi,All Vahan Running Office,MOTOR CAR,PETROL/CNG,3134,value in Absolute Number,
2022,June,Madhya Pradesh,All Vahan Running Office,TRAILER (AGRICULTURAL),DIESEL,1,value in Absolute Number,
2024,February,Nagaland,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,2,value in Absolute Number,
2023,July,Kerala,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,1,value in Absolute Number,
2015,January,Rajasthan,All Vahan Running Office,HARVESTER,DIESEL,2,value in Absolute Number,
2024,August,Nagaland,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1,value in Absolute Number,
2024,May,Andhra Pradesh,All Vahan Running Office,HARVESTER,DIESEL,3,value in Absolute Number,
2025,February,Assam,All Vahan Running Office,FIRE TENDERS,DIESEL,1,value in Absolute Number,
2016,February,West Bengal,All Vahan Running Office,ANIMAL AMBULANCE,DIESEL,1,value in Absolute Number,
2020,February,Ladakh,All Vahan Running Office,MOTOR CAR,DIESEL,4,value in Absolute Number,
2015,June,Uttarakhand,All Vahan Running Office,AMBULANCE,PETROL/LPG,1,value in Absolute Number,
2014,June,Arunachal Pradesh,All Vahan Running Office,MOPED,NOT APPLICABLE,32,value in Absolute Number,
2023,June,Ladakh,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,33,value in Absolute Number,
2020,January,West Bengal,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2014,July,Karnataka,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,35,value in Absolute Number,
2023,October,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,DIESEL,282,value in Absolute Number,
2019,July,Karnataka,All Vahan Running Office,CASH VAN,DIESEL,2,value in Absolute Number,
2018,November,Nagaland,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,9,value in Absolute Number,
2016,April,Karnataka,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,200,value in Absolute Number,
2017,September,Karnataka,All Vahan Running Office,MOPED,NOT APPLICABLE,1,value in Absolute Number,
2020,March,Jharkhand,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),1,value in Absolute Number,
2024,March,Tripura,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL/ETHANOL,281,value in Absolute Number,
2019,April,Rajasthan,All Vahan Running Office,AMBULANCE,DIESEL/HYBRID,2,value in Absolute Number,
2015,June,Tripura,All Vahan Running Office,MOTOR CAR,CNG ONLY,82,value in Absolute Number,
2015,June,Tamil Nadu,All Vahan Running Office,OMNI BUS,DIESEL,16,value in Absolute Number,
2023,February,Assam,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,42,value in Absolute Number,
2024,May,Sikkim,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),3,value in Absolute Number,
2020,February,Delhi,All Vahan Running Office,MOTOR CAB,DIESEL,15,value in Absolute Number,
2023,October,Jharkhand,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,715,value in Absolute Number,
2022,December,Assam,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,90,value in Absolute Number,
2018,January,Meghalaya,All Vahan Running Office,MAXI CAB,DIESEL/HYBRID,1,value in Absolute Number,
2016,September,Karnataka,All Vahan Running Office,POWER TILLER (COMMERCIAL),NOT APPLICABLE,2,value in Absolute Number,
2017,November,West Bengal,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,1,value in Absolute Number,
2024,May,Tripura,All Vahan Running Office,THREE WHEELER (GOODS),CNG ONLY,27,value in Absolute Number,
2015,December,West Bengal,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/LPG,1,value in Absolute Number,
2015,February,Tripura,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,13,value in Absolute Number,
2019,April,West Bengal,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,11,value in Absolute Number,
2016,July,Tripura,All Vahan Running Office,THREE WHEELER (GOODS),NOT APPLICABLE,1,value in Absolute Number,
2020,June,Chhattisgarh,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),3,value in Absolute Number,
2014,April,Sikkim,All Vahan Running Office,LUXURY CAB,DIESEL,14,value in Absolute Number,
2015,February,Gujarat,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,10,value in Absolute Number,
2023,April,Madhya Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,1,value in Absolute Number,
2019,February,Karnataka,All Vahan Running Office,GOODS CARRIER,DIESEL,5163,value in Absolute Number,
2022,June,Karnataka,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,ELECTRIC(BOV),463,value in Absolute Number,
2022,June,Uttar Pradesh,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,1,value in Absolute Number,
2019,August,Karnataka,All Vahan Running Office,TRAILER (AGRICULTURAL),DIESEL,17,value in Absolute Number,
2014,March,Karnataka,All Vahan Running Office,TRACTOR (COMMERCIAL),PETROL,1,value in Absolute Number,
2025,April,Odisha,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,362,value in Absolute Number,
2019,March,West Bengal,All Vahan Running Office,OMNI BUS (PRIVATE USE),PETROL/HYBRID,5,value in Absolute Number,
2016,April,Assam,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,1,value in Absolute Number,
2022,August,Uttar Pradesh,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,1,value in Absolute Number,
2024,June,Rajasthan,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,221,value in Absolute Number,
2025,January,Karnataka,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,PETROL/ETHANOL,3,value in Absolute Number,
2018,March,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,FORK LIFT,DIESEL,1,value in Absolute Number,
2015,June,West Bengal,All Vahan Running Office,LUXURY CAB,PETROL,17,value in Absolute Number,
2017,October,Tripura,All Vahan Running Office,MAXI CAB,DIESEL,12,value in Absolute Number,
2014,May,West Bengal,All Vahan Running Office,LUXURY CAB,PETROL,5,value in Absolute Number,
2024,March,Maharashtra,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),NOT APPLICABLE,5,value in Absolute Number,
2017,December,Gujarat,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,14,value in Absolute Number,
2017,February,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/LPG,6,value in Absolute Number,
2019,November,Arunachal Pradesh,All Vahan Running Office,BUS,DIESEL,34,value in Absolute Number,
2014,August,Tripura,All Vahan Running Office,MAXI CAB,DIESEL,2,value in Absolute Number,
2022,November,Sikkim,All Vahan Running Office,MOTOR CAR,PETROL,187,value in Absolute Number,
2023,August,Haryana,All Vahan Running Office,MAXI CAB,PETROL/HYBRID,6,value in Absolute Number,
2021,October,Kerala,All Vahan Running Office,ARMOURED/SPECIALISED VEHICLE,DIESEL,2,value in Absolute Number,
2023,March,Goa,All Vahan Running Office,FIRE TENDERS,DIESEL,1,value in Absolute Number,
2017,April,Karnataka,All Vahan Running Office,EARTH MOVING EQUIPMENT,PETROL,1,value in Absolute Number,
2020,January,Bihar,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,45,value in Absolute Number,
2015,September,Arunachal Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,580,value in Absolute Number,
2018,November,Karnataka,All Vahan Running Office,ADAPTED VEHICLE,PETROL,290,value in Absolute Number,
2023,March,Rajasthan,All Vahan Running Office,MAXI CAB,PETROL/CNG,64,value in Absolute Number,
2016,June,Maharashtra,All Vahan Running Office,THREE WHEELER (GOODS),NOT APPLICABLE,3,value in Absolute Number,
2024,December,Gujarat,All Vahan Running Office,MOTOR CAB,STRONG HYBRID EV,1,value in Absolute Number,
2017,April,Uttarakhand,All Vahan Running Office,MOTOR CAR,PETROL/HYBRID,1,value in Absolute Number,
2017,January,Jammu and Kashmir,All Vahan Running Office,MAXI CAB,DIESEL,32,value in Absolute Number,
2024,September,Tripura,All Vahan Running Office,MOTOR CAB,PETROL,3,value in Absolute Number,
2021,February,Madhya Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,2,value in Absolute Number,
2016,November,Tamil Nadu,All Vahan Running Office,TRAILER (AGRICULTURAL),DIESEL,21,value in Absolute Number,
2020,November,Maharashtra,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,36,value in Absolute Number,
2014,June,Punjab,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),1,value in Absolute Number,
2015,July,Punjab,All Vahan Running Office,AMBULANCE,PETROL,9,value in Absolute Number,
2024,August,Kerala,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,96,value in Absolute Number,
2024,July,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MOTOR CAR,DIESEL,125,value in Absolute Number,
2014,February,Punjab,All Vahan Running Office,MOPED,ELECTRIC(BOV),6,value in Absolute Number,
2018,August,Tripura,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,1,value in Absolute Number,
2018,August,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,1,value in Absolute Number,
2015,November,Rajasthan,All Vahan Running Office,HARVESTER,DIESEL,13,value in Absolute Number,
2016,June,Haryana,All Vahan Running Office,MOPED,PETROL,313,value in Absolute Number,
2021,April,Maharashtra,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),428,value in Absolute Number,
2019,May,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),1,value in Absolute Number,
2017,December,Chhattisgarh,All Vahan Running Office,THREE WHEELER (PERSONAL),ELECTRIC(BOV),2,value in Absolute Number,
2014,January,Uttar Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,24,value in Absolute Number,
2015,December,West Bengal,All Vahan Running Office,ADAPTED VEHICLE,PETROL,5,value in Absolute Number,
2017,July,Odisha,All Vahan Running Office,VEHICLE FITTED WITH RIG,DIESEL,1,value in Absolute Number,
2014,February,Karnataka,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,3,value in Absolute Number,
2020,December,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),16,value in Absolute Number,
2023,October,Assam,All Vahan Running Office,GOODS CARRIER,DIESEL,1203,value in Absolute Number,
2022,September,Kerala,All Vahan Running Office,M-CYCLE/SCOOTER-WITH SIDE CAR,ELECTRIC(BOV),3,value in Absolute Number,
2014,August,Goa,All Vahan Running Office,TRAILER FOR PERSONAL USE,NOT APPLICABLE,1,value in Absolute Number,
2019,December,Gujarat,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),7,value in Absolute Number,
2016,July,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,DIESEL,226,value in Absolute Number,
2024,November,Jharkhand,All Vahan Running Office,OMNI BUS,PETROL,19,value in Absolute Number,
2022,July,Rajasthan,All Vahan Running Office,MOTOR CAB,PETROL,118,value in Absolute Number,
2015,October,Punjab,All Vahan Running Office,TRAILER FOR PERSONAL USE,DIESEL,4,value in Absolute Number,
2022,November,Gujarat,All Vahan Running Office,AMBULANCE,PETROL,13,value in Absolute Number,
2023,June,Maharashtra,All Vahan Running Office,BUS,PETROL,6,value in Absolute Number,
2022,June,Odisha,All Vahan Running Office,FORK LIFT,DIESEL,3,value in Absolute Number,
2016,February,Goa,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,6,value in Absolute Number,
2022,February,Assam,All Vahan Running Office,DUMPER,DIESEL,215,value in Absolute Number,
2019,June,Gujarat,All Vahan Running Office,MOTOR CAR,DIESEL,4289,value in Absolute Number,
2020,July,Kerala,All Vahan Running Office,GOODS CARRIER,PETROL/CNG,2,value in Absolute Number,
2019,June,Tamil Nadu,All Vahan Running Office,MOTOR CAR,PETROL,8478,value in Absolute Number,
2025,April,Chandigarh,All Vahan Running Office,GOODS CARRIER,PETROL,2,value in Absolute Number,
2021,September,Tripura,All Vahan Running Office,BUS,DIESEL,1,value in Absolute Number,
2016,September,Tamil Nadu,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,1,value in Absolute Number,
2019,August,Madhya Pradesh,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,145,value in Absolute Number,
2019,February,Rajasthan,All Vahan Running Office,MOPED,PETROL,1572,value in Absolute Number,
2019,April,Uttar Pradesh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,482,value in Absolute Number,
2017,July,Rajasthan,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,2,value in Absolute Number,
2023,November,Karnataka,All Vahan Running Office,MOTOR CAR,DIESEL,3941,value in Absolute Number,
2017,February,Jammu and Kashmir,All Vahan Running Office,MAXI CAB,DIESEL,38,value in Absolute Number,
2023,March,Arunachal Pradesh,All Vahan Running Office,MAXI CAB,DIESEL,1,value in Absolute Number,
2016,November,Maharashtra,All Vahan Running Office,VEHICLE FITTED WITH COMPRESSOR,DIESEL,1,value in Absolute Number,
2023,September,Puducherry,All Vahan Running Office,MOTOR CAB,DIESEL,22,value in Absolute Number,
2025,January,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MAXI CAB,STRONG HYBRID EV,1,value in Absolute Number,
2024,April,Uttar Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,21375,value in Absolute Number,
2014,April,Kerala,All Vahan Running Office,ROAD ROLLER,DIESEL,1,value in Absolute Number,
2017,June,Haryana,All Vahan Running Office,MOTOR CAR,PETROL/LPG,17,value in Absolute Number,
2020,June,Punjab,All Vahan Running Office,MOTOR CAB,PETROL/HYBRID,2,value in Absolute Number,
2023,April,West Bengal,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,51779,value in Absolute Number,
2017,November,West Bengal,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,346,value in Absolute Number,
2024,October,Delhi,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),517,value in Absolute Number,
2023,May,Assam,All Vahan Running Office,MAXI CAB,PETROL,64,value in Absolute Number,
2021,March,Punjab,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,3036,value in Absolute Number,
2016,April,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,AMBULANCE,PETROL,1,value in Absolute Number,
2017,March,Meghalaya,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,1,value in Absolute Number,
2014,November,Karnataka,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),44,value in Absolute Number,
2024,July,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,FORK LIFT,DIESEL,8,value in Absolute Number,
2024,October,Jharkhand,All Vahan Running Office,MOPED,PETROL,887,value in Absolute Number,
2020,December,Maharashtra,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,43,value in Absolute Number,
2016,September,Manipur,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,10,value in Absolute Number,
2019,August,West Bengal,All Vahan Running Office,AMBULANCE,DIESEL,40,value in Absolute Number,
2022,June,Rajasthan,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,239,value in Absolute Number,
2014,June,Maharashtra,All Vahan Running Office,E-RICKSHAW(P),PETROL/LPG,2,value in Absolute Number,
2015,September,Karnataka,All Vahan Running Office,MOTOR CAR,PETROL/CNG,13,value in Absolute Number,
2024,June,Bihar,All Vahan Running Office,AMBULANCE,PETROL,6,value in Absolute Number,
2024,October,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),PURE EV,148,value in Absolute Number,
2019,December,Chhattisgarh,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,139,value in Absolute Number,
2014,April,Uttar Pradesh,All Vahan Running Office,GOODS CARRIER,CNG ONLY,23,value in Absolute Number,
2024,December,Delhi,All Vahan Running Office,BUS,PURE EV,30,value in Absolute Number,
2023,October,Bihar,All Vahan Running Office,AMBULANCE,DIESEL,3,value in Absolute Number,
2020,June,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,PETROL,1,value in Absolute Number,
2022,April,Odisha,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,48,value in Absolute Number,
2019,November,Tripura,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,61,value in Absolute Number,
2014,January,Karnataka,All Vahan Running Office,MOTOR CAR,PETROL/LPG,306,value in Absolute Number,
2019,December,Puducherry,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,2,value in Absolute Number,
2016,March,Andhra Pradesh,All Vahan Running Office,AMBULANCE,PETROL,59,value in Absolute Number,
2016,August,Punjab,All Vahan Running Office,AGRICULTURAL TRACTOR,PETROL,1,value in Absolute Number,
2017,May,Chhattisgarh,All Vahan Running Office,TRAILER (COMMERCIAL),NOT APPLICABLE,14,value in Absolute Number,
2025,January,Karnataka,All Vahan Running Office,MOTOR CAR,PETROL/CNG,1318,value in Absolute Number,
2021,March,Himachal Pradesh,All Vahan Running Office,AMBULANCE,PETROL,3,value in Absolute Number,
2024,April,Andhra Pradesh,All Vahan Running Office,E-RICKSHAW(P),ELECTRIC(BOV),2,value in Absolute Number,
2015,June,Odisha,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,1,value in Absolute Number,
2020,December,Jharkhand,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,71,value in Absolute Number,
2023,June,Andhra Pradesh,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,39443,value in Absolute Number,
2019,July,Odisha,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,3,value in Absolute Number,
2016,December,Bihar,All Vahan Running Office,GOODS CARRIER,PETROL,5,value in Absolute Number,
2016,October,Chhattisgarh,All Vahan Running Office,EDUCATIONAL INSTITUTION BUS,DIESEL,49,value in Absolute Number,
2019,October,West Bengal,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,180,value in Absolute Number,
2025,February,Tamil Nadu,All Vahan Running Office,MOPED,ELECTRIC(BOV),45,value in Absolute Number,
2014,January,Tamil Nadu,All Vahan Running Office,GOODS CARRIER,PETROL/LPG,1,value in Absolute Number,
2017,October,Odisha,All Vahan Running Office,HARVESTER,DIESEL,1,value in Absolute Number,
2023,May,Tamil Nadu,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,418,value in Absolute Number,
2019,June,Haryana,All Vahan Running Office,AMBULANCE,PETROL,1,value in Absolute Number,
2024,August,Bihar,All Vahan Running Office,TRACTOR (COMMERCIAL),NOT APPLICABLE,2,value in Absolute Number,
2016,May,Tamil Nadu,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,554,value in Absolute Number,
2014,June,Karnataka,All Vahan Running Office,POWER TILLER (COMMERCIAL),DIESEL,61,value in Absolute Number,
2018,June,Goa,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,2,value in Absolute Number,
2019,July,Punjab,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,2,value in Absolute Number,
2016,June,Andhra Pradesh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1971,value in Absolute Number,
2016,March,Maharashtra,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,8,value in Absolute Number,
2022,August,Tamil Nadu,All Vahan Running Office,MOTOR CAR,DIESEL,3994,value in Absolute Number,
2016,October,Maharashtra,All Vahan Running Office,MOTOR CAR,ELECTRIC(BOV),10,value in Absolute Number,
2021,August,Arunachal Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),DIESEL,19,value in Absolute Number,
2017,August,Tamil Nadu,All Vahan Running Office,BUS,DIESEL,23,value in Absolute Number,
2015,December,Delhi,All Vahan Running Office,MOPED,PETROL,393,value in Absolute Number,
2023,July,Haryana,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,1,value in Absolute Number,
2015,June,Chhattisgarh,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,1324,value in Absolute Number,
2016,February,Kerala,All Vahan Running Office,BREAKDOWN VAN,DIESEL,2,value in Absolute Number,
2020,September,Chandigarh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),PETROL,5,value in Absolute Number,
2018,November,Odisha,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,36,value in Absolute Number,
2024,December,Chandigarh,All Vahan Running Office,MOTOR CAR,DIESEL,315,value in Absolute Number,
2020,October,Tripura,All Vahan Running Office,EXCAVATOR (COMMERCIAL),DIESEL,9,value in Absolute Number,
2019,January,Gujarat,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,81,value in Absolute Number,
2018,September,Mizoram,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,3,value in Absolute Number,
2023,June,Rajasthan,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,222,value in Absolute Number,
