year,month,state,rto,vehicle_class,fuel,value,unit,note
2018,October,Jharkhand,All Vahan Running Office,E-RICKSHAW(P),DIESEL,1,value in Absolute Number,
2019,July,Andhra Pradesh,All Vahan Running Office,TRAILER (COMMERCIAL),DIESEL,1,value in Absolute Number,
2020,October,Andhra Pradesh,All Vahan Running Office,MOTOR CAB,PETROL,152,value in Absolute Number,
2019,December,Mizoram,All Vahan Running Office,MOTOR CYCLE/SCOOTER-USED FOR HIRE,PETROL,16,value in Absolute Number,
2020,April,Maharashtra,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/CNG,381,value in Absolute Number,
2016,July,Andhra Pradesh,All Vahan Running Office,HARVESTER,DIESEL,18,value in Absolute Number,
2023,September,Andhra Pradesh,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,171,value in Absolute Number,
2014,June,Meghalaya,All Vahan Running Office,GOODS CARRIER,DIESEL,132,value in Absolute Number,
2021,November,Ladakh,All Vahan Running Office,BUS,DIESEL,1,value in Absolute Number,
2024,March,Kerala,All Vahan Running Office,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),DIESEL,13,value in Absolute Number,
2014,September,Uttarakhand,All Vahan Running Office,GOODS CARRIER,DIESEL,450,value in Absolute Number,
2020,February,Punjab,All Vahan Running Office,MOTOR CAB,DIESEL,171,value in Absolute Number,
2014,February,Karnataka,All Vahan Running Office,MOTOR CAB,DIESEL,1138,value in Absolute Number,
2025,April,Mizoram,All Vahan Running Office,M-CYCLE/SCOOTER,ETHANOL,3,value in Absolute Number,
2020,March,Maharashtra,All Vahan Running Office,FIRE FIGHTING VEHICLE,DIESEL,23,value in Absolute Number,
2022,July,Uttar Pradesh,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),79,value in Absolute Number,
2018,December,Gujarat,All Vahan Running Office,DUMPER,DIESEL,104,value in Absolute Number,
2015,November,Mizoram,All Vahan Running Office,AGRICULTURAL TRACTOR,DIESEL,2,value in Absolute Number,
2024,February,Punjab,All Vahan Running Office,E-RICKSHAW WITH CART (G),ELECTRIC(BOV),166,value in Absolute Number,
2021,December,Kerala,All Vahan Running Office,THREE WHEELER (PASSENGER),LPG ONLY,7,value in Absolute Number,
2016,November,Tamil Nadu,All Vahan Running Office,ARTICULATED VEHICLE,DIESEL,333,value in Absolute Number,
2023,May,Uttarakhand,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,7,value in Absolute Number,
2022,August,Tamil Nadu,All Vahan Running Office,MOPED,PETROL,5081,value in Absolute Number,
2023,December,Jharkhand,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,154,value in Absolute Number,
2021,June,Jharkhand,All Vahan Running Office,THREE WHEELER (PASSENGER),DIESEL,121,value in Absolute Number,
2021,March,Nagaland,All Vahan Running Office,BUS,DIESEL,11,value in Absolute Number,
2017,August,Kerala,All Vahan Running Office,MOTOR CAB,PETROL/CNG,18,value in Absolute Number,
2016,February,Rajasthan,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,335,value in Absolute Number,
2020,May,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),2,value in Absolute Number,
2014,January,Rajasthan,All Vahan Running Office,MOTOR CAB,PETROL,11,value in Absolute Number,
2016,December,West Bengal,All Vahan Running Office,TRACTOR (COMMERCIAL),PETROL,1,value in Absolute Number,
2017,October,Punjab,All Vahan Running Office,EXCAVATOR (COMMERCIAL),PETROL,1,value in Absolute Number,
2020,March,Meghalaya,All Vahan Running Office,AMBULANCE,PETROL,1,value in Absolute Number,
2015,November,Nagaland,All Vahan Running Office,MOTOR CAR,PETROL,325,value in Absolute Number,
2015,December,Kerala,All Vahan Running Office,MOTOR CAR,PETROL/LPG,2,value in Absolute Number,
2021,August,Tamil Nadu,All Vahan Running Office,RECOVERY VEHICLE,DIESEL,1,value in Absolute Number,
2019,April,Bihar,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),101,value in Absolute Number,
2019,July,West Bengal,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),5,value in Absolute Number,
2014,October,Madhya Pradesh,All Vahan Running Office,OMNI BUS (PRIVATE USE),DIESEL,350,value in Absolute Number,
2019,May,Maharashtra,All Vahan Running Office,CONSTRUCTION EQUIPMENT VEHICLE,DIESEL,266,value in Absolute Number,
2022,November,Haryana,All Vahan Running Office,MOTOR CAB,PETROL/CNG,1637,value in Absolute Number,
2018,March,Uttarakhand,All Vahan Running Office,GOODS CARRIER,DIESEL,620,value in Absolute Number,
2022,February,Maharashtra,All Vahan Running Office,MOTOR CAR,PETROL/LPG,25,value in Absolute Number,
2023,August,Rajasthan,All Vahan Running Office,MOTORISED CYCLE (CC > 25CC),ELECTRIC(BOV),60,value in Absolute Number,
2019,October,Tamil Nadu,All Vahan Running Office,EARTH MOVING EQUIPMENT,DIESEL,103,value in Absolute Number,
2020,October,Mizoram,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,1876,value in Absolute Number,
2022,January,Chhattisgarh,All Vahan Running Office,AGRICULTURAL TRACTOR,NOT APPLICABLE,1,value in Absolute Number,
2017,February,Sikkim,All Vahan Running Office,M-CYCLE/SCOOTER,PETROL,27,value in Absolute Number,
2020,April,Gujarat,All Vahan Running Office,BUS,DIESEL,51,value in Absolute Number,
2019,November,Tamil Nadu,All Vahan Running Office,ADAPTED VEHICLE,DIESEL,3,value in Absolute Number,
2022,January,Tripura,All Vahan Running Office,THREE WHEELER (GOODS),PETROL/CNG,1,value in Absolute Number,
2024,October,Rajasthan,All Vahan Running Office,AMBULANCE,PETROL/CNG,21,value in Absolute Number,
2017,September,Maharashtra,All Vahan Running Office,MOTOR CAR,LPG ONLY,1,value in Absolute Number,
2024,July,Gujarat,All Vahan Running Office,THREE WHEELER (GOODS),ELECTRIC(BOV),215,value in Absolute Number,
2023,February,Tamil Nadu,All Vahan Running Office,THREE WHEELER (GOODS),DIESEL,199,value in Absolute Number,
2018,February,Odisha,All Vahan Running Office,THREE WHEELER (GOODS),NOT APPLICABLE,1,value in Absolute Number,
2015,January,Rajasthan,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL/LPG,208,value in Absolute Number,
2018,December,Odisha,All Vahan Running Office,TRAILER (AGRICULTURAL),NOT APPLICABLE,1,value in Absolute Number,
2014,January,Maharashtra,All Vahan Running Office,THREE WHEELER (PASSENGER),NOT APPLICABLE,3,value in Absolute Number,
2020,March,Rajasthan,All Vahan Running Office,FORK LIFT,DIESEL,9,value in Absolute Number,
2021,February,Uttar Pradesh,All Vahan Running Office,THREE WHEELER (PASSENGER),ELECTRIC(BOV),22,value in Absolute Number,
2024,March,Madhya Pradesh,All Vahan Running Office,AMBULANCE,PETROL,7,value in Absolute Number,
2016,February,Tripura,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1,value in Absolute Number,
2015,September,Goa,All Vahan Running Office,MOTOR CYCLE/SCOOTER-SIDECAR(T),PETROL,8,value in Absolute Number,
2021,February,Tripura,All Vahan Running Office,MOTOR CAR,DIESEL,15,value in Absolute Number,
2019,October,Tripura,All Vahan Running Office,MAXI CAB,DIESEL,8,value in Absolute Number,
2019,November,Himachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL/CNG,4,value in Absolute Number,
2017,July,Tripura,All Vahan Running Office,MOTOR CAB,CNG ONLY,1,value in Absolute Number,
2022,April,Rajasthan,All Vahan Running Office,MOPED,ELECTRIC(BOV),273,value in Absolute Number,
2018,August,Punjab,All Vahan Running Office,CAMPER VAN / TRAILER (PRIVATE USE),DIESEL,1,value in Absolute Number,
2023,October,Assam,All Vahan Running Office,AMBULANCE,PETROL,18,value in Absolute Number,
2015,April,Uttar Pradesh,All Vahan Running Office,OMNI BUS,CNG ONLY,1,value in Absolute Number,
2018,June,Karnataka,All Vahan Running Office,ADAPTED VEHICLE,PETROL,1422,value in Absolute Number,
2023,April,Odisha,All Vahan Running Office,THREE WHEELER (PASSENGER),CNG ONLY,112,value in Absolute Number,
2015,October,Assam,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,3,value in Absolute Number,
2023,January,Assam,All Vahan Running Office,THREE WHEELER (PASSENGER),PETROL,535,value in Absolute Number,
2021,May,Karnataka,All Vahan Running Office,M-CYCLE/SCOOTER,ELECTRIC(BOV),90,value in Absolute Number,
2018,January,Rajasthan,All Vahan Running Office,CAMPER VAN / TRAILER,DIESEL,5,value in Absolute Number,
2018,March,Tamil Nadu,All Vahan Running Office,ADAPTED VEHICLE,PETROL,36,value in Absolute Number,
2018,December,Karnataka,All Vahan Running Office,MOTOR CAR,PETROL,8248,value in Absolute Number,
2015,February,Maharashtra,All Vahan Running Office,THREE WHEELER (PERSONAL),PETROL/LPG,1,value in Absolute Number,
2022,May,Dadra and Nagar Haveli and Daman and Diu,All Vahan Running Office,MOTOR CAR,DIESEL,85,value in Absolute Number,
2019,August,Uttar Pradesh,All Vahan Running Office,CRANE MOUNTED VEHICLE,DIESEL,57,value in Absolute Number,
2019,June,Arunachal Pradesh,All Vahan Running Office,MOTOR CAR,PETROL,446,value in Absolute Number,
2016,August,Karnataka,All Vahan Running Office,TRACTOR (COMMERCIAL),DIESEL,52,value in Absolute Number,
2014,January,Arunachal Pradesh,All Vahan Running Office,MOPED,NOT APPLICABLE,31,value in Absolute Number,
2018,November,Mizoram,All Vahan Running Office,LUXURY CAB,PETROL,1,value in Absolute Number,
2023,June,Kerala,All Vahan Running Office,MOTOR CAR,DIESEL/HYBRID,2,value in Absolute Number,
2016,July,West Bengal,All Vahan Running Office,MOTOR CAB,DIESEL,87,value in Absolute Number,
2024,December,Maharashtra,All Vahan Running Office,ARTICULATED VEHICLE,NOT APPLICABLE,5,value in Absolute Number,
2021,March,Madhya Pradesh,All Vahan Running Office,MOTOR CAR,NOT APPLICABLE,592,value in Absolute Number,
2022,March,Chhattisgarh,All Vahan Running Office,ADAPTED VEHICLE,PETROL/HYBRID,1,value in Absolute Number,
